rt,responses,type,trial_type,trial_index,time_elapsed,internal_node_id,stimulus,key_press,comparison_type,correct_side
null,,,html-keyboard-response,107,448905,0.0-107.0,"<h1 style=""font-size: 35px"">ELBOW</h1><h1 style=""font-size: 35px; margin-top: 45px;"">VELVET</h1>",null,,
1128.89,,,html-keyboard-response,108,450790,0.0-108.0,"<h1 style=""font-size: 35px;"">GRIZZLY<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>TUBA</h1>",76,"16,many",1
null,,,html-keyboard-response,109,455550,0.0-109.0,"<h1 style=""font-size: 35px"">CAPTIVE</h1><h1 style=""font-size: 35px; margin-top: 45px;"">FLAG</h1>",null,,
2984.91,,,html-keyboard-response,110,459286,0.0-110.0,"<h1 style=""font-size: 35px;"">FLEET<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>SAUSAGE</h1>",65,"68,many",0
null,,,html-keyboard-response,111,464041,0.0-111.0,"<h1 style=""font-size: 35px"">NOVEL</h1><h1 style=""font-size: 35px; margin-top: 45px;"">SHELTER</h1>",null,,
3029.445,,,html-keyboard-response,112,467822,0.0-112.0,"<h1 style=""font-size: 35px;"">SHERIFF<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>ELBOW</h1>",65,"4,many",1
null,,,html-keyboard-response,113,472581,0.0-113.0,"<h1 style=""font-size: 35px"">COFFEE</h1><h1 style=""font-size: 35px; margin-top: 45px;"">TUNNEL</h1>",null,,
3054.01,,,html-keyboard-response,114,476391,0.0-114.0,"<h1 style=""font-size: 35px;"">PASTRY<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>CAPTIVE</h1>",76,"4,68",1
null,,,html-keyboard-response,115,481143,0.0-115.0,"<h1 style=""font-size: 35px"">GARLIC</h1><h1 style=""font-size: 35px; margin-top: 45px;"">MATCH</h1>",null,,
738.705,,,html-keyboard-response,116,482638,0.0-116.0,"<h1 style=""font-size: 35px;"">GARLIC<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>COFFEE</h1>",65,"0,2",0
null,,,html-keyboard-response,117,487392,0.0-117.0,"<h1 style=""font-size: 35px"">HERO</h1><h1 style=""font-size: 35px; margin-top: 45px;"">BALLOON</h1>",null,,
3957.76,,,html-keyboard-response,118,492102,0.0-118.0,"<h1 style=""font-size: 35px;"">TUNNEL<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>GUARD</h1>",76,"4,16",0
null,,,html-keyboard-response,119,496854,0.0-119.0,"<h1 style=""font-size: 35px"">TRENCH</h1><h1 style=""font-size: 35px; margin-top: 45px;"">PLIERS</h1>",null,,
2621,,,html-keyboard-response,120,500227,0.0-120.0,"<h1 style=""font-size: 35px;"">HERO<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>MATCH</h1>",76,"2,4",0
null,,,html-keyboard-response,121,504986,0.0-121.0,"<h1 style=""font-size: 35px"">CREATURE</h1><h1 style=""font-size: 35px; margin-top: 45px;"">WAITRESS</h1>",null,,
1332.825,,,html-keyboard-response,122,507071,0.0-122.0,"<h1 style=""font-size: 35px;"">CLIMBER<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>PLAZA</h1>",76,"16,68",1
null,,,html-keyboard-response,123,511831,0.0-123.0,"<h1 style=""font-size: 35px"">BOX</h1><h1 style=""font-size: 35px; margin-top: 45px;"">GRAVEL</h1>",null,,
1485.715,,,html-keyboard-response,124,514070,0.0-124.0,"<h1 style=""font-size: 35px;"">CREATURE<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>VIRUS</h1>",65,"2,many",0
null,,,html-keyboard-response,125,518828,0.0-125.0,"<h1 style=""font-size: 35px"">FLESH</h1><h1 style=""font-size: 35px; margin-top: 45px;"">BLENDER</h1>",null,,
5922.375,,,html-keyboard-response,126,525503,0.0-126.0,"<h1 style=""font-size: 35px;"">FLAG<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>FLESH</h1>",76,"0,16",1
null,,,html-keyboard-response,127,530263,0.0-127.0,"<h1 style=""font-size: 35px"">CHILD</h1><h1 style=""font-size: 35px; margin-top: 45px;"">PASSAGE</h1>",null,,
1707.84,,,html-keyboard-response,128,532727,0.0-128.0,"<h1 style=""font-size: 35px;"">BLENDER<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>NOVEL</h1>",65,"2,16",0
null,,,html-keyboard-response,129,537483,0.0-129.0,"<h1 style=""font-size: 35px"">BANKER</h1><h1 style=""font-size: 35px; margin-top: 45px;"">SHARK</h1>",null,,
1503.9,,,html-keyboard-response,130,539743,0.0-130.0,"<h1 style=""font-size: 35px;"">BARLEY<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>CHILD</h1>",76,"2,68",1
null,,,html-keyboard-response,131,544501,0.0-131.0,"<h1 style=""font-size: 35px"">BOUQUET</h1><h1 style=""font-size: 35px; margin-top: 45px;"">NEUTRON</h1>",null,,
1016.86,,,html-keyboard-response,132,546271,0.0-132.0,"<h1 style=""font-size: 35px;"">PASSAGE<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>BOUQUET</h1>",76,"0,4",1
null,,,html-keyboard-response,133,551029,0.0-133.0,"<h1 style=""font-size: 35px"">LION</h1><h1 style=""font-size: 35px; margin-top: 45px;"">THRONE</h1>",null,,
